SKU,Woo image back,Condition
ML-0214-9,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/ML-0214-9/zz__ML-0214-9-back-deskew.jpg,HP
E-0217-A,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/E-0217-A/zz__E-0217-A-back-deskew.jpg,MP-
CS-0217-A,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/CS-0217-A/zz__CS-0217-A-back-deskew.jpg,MP-
CS-0217-B,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/CS-0217-B/zz__CS-0217-B-back-deskew.jpg,MP+
CS-0217-C,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/CS-0217-C/zz__CS-0217-C-back-deskew.jpg,MP
CS-0217-D,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/CS-0217-D/zz__CS-0217-D-back-deskew.jpg,MP
CS-0217-E,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/CS-0217-E/zz__CS-0217-E-back-deskew.jpg,MP+
T84-0217-1,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T84-0217-1/zz__T84-0217-1-back-deskew.jpg,HP
T84-0217-2,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T84-0217-2/zz__T84-0217-2-back-deskew.jpg,HP
T84-0217-4,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T84-0217-4/zz__T84-0217-4-back-deskew.jpg,NM
T84-0217-6,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T84-0217-6/zz__T84-0217-6-back-deskew.jpg,HP
T84-0217-8,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T84-0217-8/zz__T84-0217-8-back-deskew.jpg,HP
EA-0217-1,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/EA-0217-1/zz__EA-0217-1-back-deskew.jpg,LP+
T79-0217-1,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T79-0217-1/zz__T79-0217-1-back-deskew.jpg,LP+
T79-0217-6,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T79-0217-6/zz__T79-0217-6-back-deskew.jpg,HP
E-0218-1,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/E-0218-1/zz__E-0218-1-back-deskew.jpg,LP+
E-0218-2,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/E-0218-2/zz__E-0218-2-back-deskew.jpg,MP
AT-0219-1,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/AT-0219-1/zz__AT-0219-1-back-deskew.jpg,LP+
AT-0219-2,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/AT-0219-2/zz__AT-0219-2-back-deskew.jpg,HP
AT-0219-4,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/AT-0219-4/zz__AT-0219-4-back-deskew.jpg,HP
AT-0219-5,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/AT-0219-5/zz__AT-0219-5-back-deskew.jpg,HP
AT-0219-6,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/AT-0219-6/zz__AT-0219-6-back-deskew.jpg,HP
AT-0219-7,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/AT-0219-7/zz__AT-0219-7-back-deskew.jpg,MP-
AT-0219-9,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/AT-0219-9/zz__AT-0219-9-back-deskew.jpg,HP
T86-0219-3,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-3/zz__T86-0219-3-back-deskew.jpg,HP
T86-0219-4,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-4/zz__T86-0219-4-back-deskew.jpg,MP
T86-0219-5,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-5/zz__T86-0219-5-back-deskew.jpg,MP
T86-0219-7,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-7/zz__T86-0219-7-back-deskew.jpg,LP-
T86-0219-8,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-8/zz__T86-0219-8-back-deskew.jpg,LP-
T86-0219-9,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-9/zz__T86-0219-9-back-deskew.jpg,LP-
T86-0219-10,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-10/zz__T86-0219-10-back-deskew.jpg,MP
T86-0219-11,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-11/zz__T86-0219-11-back-deskew.jpg,LP-
T86-0219-12,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-12/zz__T86-0219-12-back-deskew.jpg,LP-
T86-0219-13,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-13/zz__T86-0219-13-back-deskew.jpg,LP-
T86-0219-14,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-14/zz__T86-0219-14-back-deskew.jpg,LP-
T86-0219-15,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-15/zz__T86-0219-15-back-deskew.jpg,HP
T86-0219-16,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-16/zz__T86-0219-16-back-deskew.jpg,LP+
T86-0219-17,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-17/zz__T86-0219-17-back-deskew.jpg,LP+
T86-0219-18,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-18/zz__T86-0219-18-back-deskew.jpg,NM
T86-0219-19,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-19/zz__T86-0219-19-back-deskew.jpg,HP
T86-0219-20,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-20/zz__T86-0219-20-back-deskew.jpg,MP
T86-0219-21,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-21/zz__T86-0219-21-back-deskew.jpg,MP+
T86-0219-22,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-22/zz__T86-0219-22-back-deskew.jpg,MP+
T86-0219-23,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-23/zz__T86-0219-23-back-deskew.jpg,NM
T86-0219-24,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-24/zz__T86-0219-24-back-deskew.jpg,NM
T86-0219-25,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-25/zz__T86-0219-25-back-deskew.jpg,
T86-0219-26,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-26/zz__T86-0219-26-back-deskew.jpg,LP-
T86-0219-27,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-27/zz__T86-0219-27-back-deskew.jpg,LP-
T86-0219-28,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T86-0219-28/zz__T86-0219-28-back-deskew.jpg,LP+
EB-0220-A,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/EB-0220-A/zz__EB-0220-A-back-deskew.jpg,LP+
T102-0222-1,https://integromat122720.s3-us-west-1.amazonaws.com/images/newscanner/T102-0222-1/zz__T102-0222-1-back-deskew.jpg,MP+
